Activity,Start time,Duration,Day of activity,Weekend or weekday
2.243652024166823633e+00,-1.478942126922685674e+00,-2.121012149222267495e-01,1.017048677473317841e+00,1.637945191429761360e+00
9.127957787497276501e-03,-1.485191046430598405e+00,2.359581724354084808e-01,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,-1.317971356805446526e+00,-2.322948776277694305e-01,1.017048677473317841e+00,1.637945191429761360e+00
9.127957787497276501e-03,-1.320345248015156292e+00,1.289917412723854406e-01,1.017048677473317841e+00,1.637945191429761360e+00
-1.223146343524631197e-01,-1.389956116723413793e+00,-2.324948148822797434e-01,1.017048677473317841e+00,1.637945191429761360e+00
-2.537572264924235488e-01,-1.392574379087064385e+00,3.347271761635084442e-01,1.017048677473317841e+00,1.637945191429761360e+00
2.375094616306784090e+00,-1.243438154853526267e+00,6.962137323181736281e-01,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,-9.056124896129011947e-01,-2.093020933590822030e-01,1.017048677473317841e+00,1.637945191429761360e+00
-9.109701871922255556e-01,-9.120010497802086835e-01,-2.272964462650113315e-01,1.017048677473317841e+00,1.637945191429761360e+00
-1.223146343524631197e-01,-9.158411679135629591e-01,-2.306953795916868444e-01,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,-9.186339811014569978e-01,-2.328946893913003968e-01,1.017048677473317841e+00,1.637945191429761360e+00
9.127957787497276501e-03,-9.209031418166208072e-01,6.052422815159764768e-01,1.017048677473317841e+00,1.637945191429761360e+00
-1.223146343524631197e-01,-8.205015077118323896e-01,-1.997051051425866586e-01,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,-8.286355761215735694e-01,-2.041037247418137635e-01,1.017048677473317841e+00,1.637945191429761360e+00
1.060668694907180409e+00,-8.368743750258608172e-01,-1.735133248017342589e-01,1.017048677473317841e+00,1.637945191429761360e+00
-7.795275950522650987e-01,-8.504195189871465166e-01,2.879128677061887576e+00,1.017048677473317841e+00,1.637945191429761360e+00
